"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського",105.333333333333,184,142.8,803,131,85,6,9,"http://old.donnuet.edu.ua",12733,,13,78,"155",155,"Дніпропетровська область"
"Донецький національний університет імені Василя Стуса",104,194.666666666667,153,6257,911,335,6,18,"http://www.donnu.edu.ua",13084,,1708,4129,"18",18,"Вінницька область"
"Донецький юридичний інститут МВС України",102.333333333333,172.666666666667,130,165,39,0,4,,"http://www.dli.donetsk.ua",12450,,,,"190",190,"Дніпропетровська область"
"Дрогобицький державний педагогічний університет імені Івана Франка",100,192.333333333333,147.3,3778,509,287,7,13,"http://pk.drohobych.net",12801,,,,"249, 250",249,"Львівська область"
"Дубенська філія вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",133.666666666667,133.666666666667,133.7,7,1,0,7,,"http://dubno.vmurol.com.ua",6008,2016,,,,500,"Рівненська область"
"Дунайський інститут Національного університету «Одеська морська академія»",106.333333333333,183,138.3,312,85,6,3,52,"http://dinuoma.com.ua",20050,,,,,500,"Одеська область"
"Дунайський факультет морського та річкового транспорту Державного університету інфраструктури та технологій",0,0,0,60,0,0,0,,"http://www.maritime.kiev.ua/dujskij-fakultet/",18209,,,,,500,"Одеська область"
"Економіко-гуманітарний факультет Запорізького національного університету у м.Мелітополі Запорізької області",102,181,132.9,108,24,0,4,,"http://egfznu.com.ua",9700,,,,,500,"Запорізька область"
"Енергодарський інститут державного та муніципального управління імені  Р.Г.  Хеноха  ""Класичного приватного університету""",0,0,0,11,0,0,0,,"http://eidmu.zp.ua/index.php/abiturienti",9005,,,,,500,"Запорізька область"
"Житомирська філія Приватного вищого навчального закладу ""Європейський університет""",0,0,0,1,0,0,0,,"http://zhitomir.e-u.in.ua/",0,,,,,500,"Житомирська область"
"Житомирська філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",107,135.666666666667,122.2,75,9,0,8,,"http://kibit.edu.ua",12600,,,,,500,"Житомирська область"
"Житомирська філія Приватного вищого навчального закладу «Університет сучасних знань»",174.333333333333,174.333333333333,174.3,8,1,0,8,,"http://usz.1gb.ua/ua/pro-universitet/filiji-ta-regiolni-pidrozdili/40-filiya-m-zhitomir",11200,,,,,500,"Житомирська область"
"Житомирський державний технологічний університет",104.666666666667,189.666666666667,145.8,3139,442,183,7,17,"https://vstup.ztu.edu.ua",16860,,161,334,"74",74,"Житомирська область"
"Житомирський державний університет імені Івана Франка",103.5,194.666666666667,144.7,4535,823,319,5,14,"https://zu.edu.ua",13093,,122,152,"83",83,"Житомирська область"
"Житомирський економіко-гуманітарний інститут Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",118,162,134.3,69,7,0,9,,"http://vmurol.zt.ua/abitur.html",9000,,,,,500,"Житомирська область"
"Житомирський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",112.333333333333,120.333333333333,116.3,40,2,0,20,,"http://maup.zt.ua/spetsialnosti.html",14275,,,,,500,"Житомирська область"
"Житомирський національний агроекологічний університет",100.666666666667,191.333333333333,136.3,4032,688,242,5,16,"http://zu.edu.ua",10960,,,,"141",141,"Житомирська область"
"Закарпатська академія мистецтв",108,187,142.5,57,38,14,1,4,"http://artedu.uz.ua/vst_abit.html",,,,,"133, 134",133,"Закарпатська область"
"Запорізька державна інженерна академія",101.333333333333,185.666666666667,144,1176,143,75,8,15,"http://www.zgia.zp.ua",8333,,268,405,"94",94,"Запорізька область"
"Запорізький державний медичний університет",107.333333333333,178,134.9,598,93,0,6,,"http://zsmu.edu.ua",20400,,210,589,"78, 79",78,"Запорізька область"
"Запорізький національний технічний університет",101,194,138.9,6773,1183,283,5,23,"http://pk.zntu.edu.ua",10505,,568,766,"32",32,"Запорізька область"
"Запорізький національний університет",102,195.333333333333,145.6,9760,1465,254,6,38,"https://web.znu.edu.ua/pk/index.php",10076,,241,344,"43",43,"Запорізька область"
"Західнодонбаський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна академія управління персоналом""",148.333333333333,148.333333333333,148.3,3,1,0,3,,"http://zi-maup.edukit.dp.ua/abituriyentam/",9972,,,,,500,"Дніпропетровська область"
"Івано-Франківська філія Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",135.333333333333,135.333333333333,135.3,4,1,0,4,,"http://if.vmurol.com.ua",,,,,,500,"Івано-Франківська область"
"Івано-Франківський навчально-науковий інститут менеджменту Тернопільського національного економічного університету",105.333333333333,191.666666666667,141.1,256,34,6,7,42,"http://www.ifim.tneu.edu.ua",10500,2016,,,,500,"Івано-Франківська область"
"Івано-Франківський національний технічний університет нафти і газу",102,195,149.4,5334,746,377,7,14,"http://nung.edu.ua",10280,,223,166,"33",33,"Івано-Франківська область"
"Ізмаїльський державний гуманітарний університет",101.333333333333,186,138.9,1007,215,118,4,8,"http://idgu.edu.ua/",12038,,,,"212, 213",212,"Одеська область"
