"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Житомирський національний агроекологічний університет",,,100.666666666667,191.333333333333,136.3,"http://zu.edu.ua",10960,,"141",141,"Житомирська область",402,1399,5507,4,14,0,2609,
"Жмеринська філія Приватного вищого навчального закладу «Університет сучасних знань»",,,,,,,,,,,,,29,32,1,,0,29,
"Закарпатська академія мистецтв",,,108,187,142.5,"http://artedu.uz.ua/vst_abit.html",,,"133, 134",133,"Закарпатська область",29,75,127,2,4,0,110,
"Запорізька державна інженерна академія",14,37,101.333333333333,185.666666666667,144,"http://www.zgia.zp.ua",8333,,"94",94,"Запорізька область",105,321,1650,5,16,2.6,799,17.5219023779725
"Запорізький державний медичний університет",39,197,107.333333333333,178,134.9,"http://zsmu.edu.ua",20400,,"78, 79",78,"Запорізька область",,96,601,6,,5.1,1277,30.5403288958496
"Запорізький національний технічний університет",83,192,101,194,138.9,"http://pk.zntu.edu.ua",10505,,"32",32,"Запорізька область",729,2192,8859,4,12,2.3,3728,22.2639484978541
"Запорізький національний університет",27,83,102,195.333333333333,145.6,"https://web.znu.edu.ua/pk/index.php",10076,,"43",43,"Запорізька область",264,2000,10358,5,39,3.1,3439,7.8511195114859
"Західнодонбаський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна академія управління персоналом»",,,148.333333333333,148.333333333333,148.3,"http://zi-maup.edukit.dp.ua/abituriyentam/",9972,,,500,"Дніпропетровська область",,4,6,2,,0,4,
"Івано-Франківська філія Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,135.333333333333,135.333333333333,135.3,"http://if.vmurol.com.ua",,,,500,"Івано-Франківська область",,32,42,1,,0,32,
"Івано-Франківський коледж фізичного виховання Національного університету фізичного виховання і спорту України",,,,,,,,,,,,10,117,139,1,14,0,117,
"Івано-Франківський навчально-науковий інститут менеджменту Тернопільського національного економічного університету",,,105.333333333333,191.666666666667,141.1,"http://www.ifim.tneu.edu.ua",10500,2016,,500,"Івано-Франківська область",25,126,398,3,16,0,163,
"Івано-Франківський національний технічний університет нафти і газу",59,81,102,195,149.4,"http://nung.edu.ua",10280,,"33",33,"Івано-Франківська область",533,1455,6324,4,12,1.4,2757,21.4000725426188
"Ізмаїльський державний гуманітарний університет",,,101.333333333333,186,138.9,"http://idgu.edu.ua/",12038,,"212, 213",212,"Одеська область",205,371,1462,4,7,0,585,
"Індустріальний інститут Державного вищого навчального закладу «Донецький національний технічний університет»",,,106.333333333333,162.666666666667,127.1,"http://kii.donntu.edu.ua/",,2016,,500,"Донецька область",40,85,317,4,8,0,122,
"Інститут підготовки кадрів державної служби зайнятості України",,,114.333333333333,158.333333333333,134.9,"http://ipk.edu.ua",12380,,"240",240,"м. Київ",,21,41,2,,0,160,
"Інститут управління і права Національного юридичного університету імені Ярослава Мудрого",,,136.666666666667,172.333333333333,153.8,"http://vstup.nlu.edu.ua/",18000,,,500,"м. Київ",,14,88,6,,0,14,
"Інститут хімічних технологій Східноукраїнського національного університету імені Володимира Даля (м. Рубіжне)",,,107,173.666666666667,128.6,"http://iht.lg.ua/",8250,,,500,"Луганська область",20,172,358,2,18,0,242,
